,Country,Sport_1,Points_1,Sport_2,Points_2,Sport_3,Points_3
210,Brunei,Artistic Gymnastics,1.08,Lacrosse,0.27,Polo,0.18
211,Saint Vincent and the Grenadines,Artistic Gymnastics,1.13,Wrestling,0.42,Lacrosse,0.32
212,British Virgin Islands,Artistic Gymnastics,1.08,Lacrosse,0.27,Polo,0.18
213,Swaziland,Artistic Gymnastics,1.12,Wrestling,0.4,Lacrosse,0.3
214,Saint Kitts and Nevis,Artistic Gymnastics,1.13,Wrestling,0.42,Lacrosse,0.32
215,Tuvalu,Artistic Gymnastics,1.12,Wrestling,0.4,Lacrosse,0.3
216,Netherlands Antilles,Artistic Gymnastics,1.13,Wrestling,0.42,Lacrosse,0.32
217,Serbia and Montenegro,Swimming,1.59,Shooting,1.41,Artistic Gymnastics,1.12
218,Unified Team,Athletics,64.15,Swimming,31.1,Gymnastics Artistic,29.2
219,Czechoslovakia,Shooting,5.64,Swimming,5.13,Canoe Slalom,3.77
220,Mauritania,Artistic Gymnastics,1.1,Wrestling,0.82,Lacrosse,0.29
221,Yugoslavia,Shooting,4.67,Wrestling,3.43,Basketball,2.66
222,Soviet Union,Athletics,43.21,Wrestling,42.18,Swimming,30.67
223,Federal Republic of Germany,Swimming,13.18,Fencing,12.84,Athletics,7.48
224,German Democratic Republic (Germany),Swimming,63.9,Athletics,44.52,Canoe Sprint,18.91
225,Yemen Arab Republic,Artistic Gymnastics,1.13,Wrestling,0.69,Lacrosse,0.32
226,Yemen Democratic Republic,Artistic Gymnastics,1.13,Wrestling,0.55,Lacrosse,0.32
227,South Vietnam,Artistic Gymnastics,1.13,Wrestling,0.42,Lacrosse,0.32
228,Rhodesia,Artistic Gymnastics,1.13,Swimming,0.64,Wrestling,0.42
229,United Arab Republic,Wrestling,1.74,Boxing,1.36,Weightlifting,1.16
230,Malaya,Artistic Gymnastics,1.1,Wrestling,0.4,Lacrosse,0.29
231,West Indies Federation,Athletics,1.22,Artistic Gymnastics,1.13,Wrestling,0.55
232,North Borneo,Artistic Gymnastics,1.13,Wrestling,0.42,Lacrosse,0.32
233,Saar,Gymnastics Artistic,8.3,Artistic Gymnastics,1.13,Wrestling,0.55
234,MIX,Polo,3.83,Sailing,3.32,Water Polo,2.9
235,Australasia,Swimming,5.96,Rugby,1.21,Artistic Gymnastics,1.17
236,Bohemia,Athletics,3.39,Tennis,1.29,Artistic Gymnastics,1.08
237,Newfoundland,Artistic Gymnastics,1.13,Wrestling,0.42,Lacrosse,0.32
